block,amount
5873118,120.5710
5873124,54.8050
5873167,5548.7659
5873179,3612.9427
5873182,373.3925
5873183,3807.0188
5873184,802.9946
5873185,4011.4534
5873187,4226.7900
5873190,4452.8437
5873191,4691.6289
5873194,88.3294
5873194,1024.3412
5875065,5240.7398
5875067,2651.1802
5899582,2819.0647
5938308,131.5324
5938764,6019.5015
5938766,6353.3598
5938769,6725.4058
5938770,6923.3775
5938772,7063.4546
5938773,7153.7373
5938773,6383.7247
5938774,6393.3893
5938775,317.9780
5938775,7394.2772
5938775,7611.5211
5938778,16685.9447
5938806,2.8503
5950604,4.4546
5953039,1386.5665
5959295,0.0000
5988312,5596.0289
5993041,33.9791
5995448,657.6600
5996574,8162.9565
5996575,8307.4153
5996577,8445.1089
5996581,11618.1390
5996581,8533.1866
5996581,2991.9299
5996582,8606.7545
5996584,10297.1876
5996591,9215.5792
5996591,8776.3985
5996592,8935.7630
5996593,4287.8384
5996596,10803.8319
5996596,5744.0752
5996606,367.1935
6066455,8597.1734
6066457,2761.9527
6066463,3096.4825
6066505,520.6475
6071044,25354.8647
6071047,80.5665
6071049,24434.3016
6071052,12920.4910
6071054,16021.3677
6071057,8908.7944
6071057,8038.2520
6071063,9296.9686
6071066,9570.5398
6071067,9817.7337
6071068,10088.2822
6071070,10409.5784
6071070,10740.0991
6071070,11057.8377
6071070,11341.4268
6071070,11631.2630
6071071,20.1411
6071074,16016.6731
6071077,11909.6571
6071077,7037.3951
6077906,723.4260
6078775,1644.1500
6089321,3288.3000
6106397,1983.9406
6106404,193.1856
6106405,5101.0216
6106419,3178.6900
6106427,2997.1847
6106427,12328.0194
6106431,12991.8841
6106432,3321.1895
6106436,12605.1500
6106445,11618.6600
6106459,24.8480
6106493,24.2480
6106495,15042.9773
6106498,29100.9013
6106525,8.7692
6106565,9.8649
6106575,5.7216
6106583,2.8499
6106641,1523.6119
6106655,15424.1851
6106655,16166.1109
6106658,16929.6910
6106658,17742.1345
6106658,18592.9442
6106658,19483.8367
6106658,31193.8612
6106659,28.0602
6106660,20181.0440
6106660,21300.7103
6106660,22481.1226
6106660,23725.3470
6106661,25036.5588
6106661,26418.0359
6106661,27873.1479
6106661,411.1297
6106661,198.0897
6106662,29306.8484
6106662,30772.3552
6106662,32161.3607
6106663,4107.4946
6106679,1945.5775
6106680,222.5083
6106712,12600.8752
6106715,1865.5622
6106720,18590.7626
6106722,28.0863
6106734,111.8022
6106736,35427.6827
6106738,35797.4618
6106739,32838.8734
6106740,37282.4198
6106740,12107.5635
6106774,30.7386
6106780,12.9986
6106824,9.4475
6108669,10961.0000
6108675,39680.0407
6108675,41426.8179
6108675,43135.9564
6108675,44803.4827
6108676,36627.2211
6108676,45976.5895
6108676,4404.1130
6108707,13875.6635
6108743,2303.3073
6108745,986.4900
6109432,108.7550
6109447,54.8050
6109458,21.9220
6109467,5.4805
6109998,46785.4014
6109998,11307.8986
6110085,6576.6000
6110225,22.9304
6110786,5480.5000
6110899,6858.2407
6110984,49038.0669
6110984,50250.9896
6110985,51493.4950
6110986,52762.8122
6110986,54260.1899
6110987,55799.3344
6110988,57381.2616
6110988,59006.9739
6110990,60662.2436
6110991,62453.9234
6110991,64367.0717
6110991,66335.9343
6110991,68361.2326
6110991,49580.3904
6110992,34274.5085
6110993,70428.3411
6110993,72562.4845
6110994,74749.4642
6110995,76984.9679
6110995,79258.8789
6110995,81275.3624
6110995,83246.9986
6110995,85194.0100
6110995,86913.8142
6110997,43404.6773
6110998,132450.4716
6111009,25852.6322
6111012,13940.0000
6111014,20500.0000
6111015,12395.0976
6111017,34440.0000
6111018,8853.6411
6111019,13940.0000
6111023,34440.0000
6111025,34440.0000
6111027,1062.3115
6111030,7790.2844
6111031,34440.0000
6111031,11960.7444
6111034,34440.0000
6111038,13940.0000
6111041,6727.9729
6111041,1062.3115
6111043,20500.0000
6111045,27880.0000
6111047,24787.2685
6111047,20500.0000
6111048,12394.7951
6111048,27880.0000
6111052,48380.0000
6111058,48380.0000
6111063,1771.2126
6111063,333.7929
6111508,1456.6324
6111516,1994.9787
6111518,12714.7600
6111521,7909.5025
6111531,1446.8520
6111564,34.6926
6111741,89.6051
6111778,24.2964
6111913,33.9652
6124429,3288.3000
6124430,2532.0568
6124435,43750.2802
6124437,43295.9500
6124440,31786.9000
6124444,14249.3000
6124464,19291.3600
6124475,350.7520
6124491,76727.0000
6124491,24883.2830
6124492,438.4388
6124500,60285.5000
6124500,28169.7700
6124502,27402.5000
6124504,9404.0422
6124504,8439.9700
6124504,4603.6200
6124506,1728.5497
6124506,1067.6590
6124524,106353.3070
6124524,23247.8904
6124527,20500.0000
6124527,12031.9849
6124531,12078.5232
6124533,20500.0000
6124534,12021.8414
6124535,3273.9603
6124537,12121.1518
6124540,49734.2411
6124541,20500.0000
6124542,13940.0000
6124542,1635.9948
6124545,20500.0000
6124547,11728.4770
6124547,2506.6151
6124548,34440.0000
6124550,13940.0000
6124551,20500.0000
6124552,13940.0000
6124553,13940.0000
6124553,75255.7595
6124556,10652.6622
6124557,13940.0000
6124559,20500.0000
6124559,11853.9211
6124561,245.3992
6124561,1645.4835
6124561,11820.3901
6124564,34440.0000
6124564,11981.8365
6124566,27880.0000
6124566,163.8163
6124568,11838.4592
6124569,20500.0000
6124572,11585.5957
6124572,13940.0000
6124573,13940.0000
6124574,20500.0000
6124579,1500.0000
6124579,11818.0049
6124579,13940.0000
6124584,34440.0000
6124587,32670.6659
6124590,12060.2335
6124592,20500.0000
6124592,13940.0000
6124593,1765.1203
6124596,37440.0006
6124597,1001.5098
6124600,13940.0000
6124600,2293.4277
6124600,11938.2085
6124602,20500.0000
6124604,34440.0000
6124604,32763.2529
6124609,13940.0000
6124610,11892.7576
